Id,objectid,name,x,y,the_geom,id
1,1,,86.73067396,27.6877,0101000020E6100000A473B45CC3AE554010ED053E10B03B40,1
2,2,,85.32175064,27.7165,0101000020E61000005C4BFE8F97545540C035CDF06CB73B40,2
3,3,,85.32194819,27.717,0101000020E6100000DCAC8FCC9A54554050DE70648AB73B40,3
4,4,,85.36225848,27.6977,0101000020E61000005C822C3E2F575540F0C4695099B23B40,4
5,5,,84.41176342,27.7265,0101000020E61000001883F1545A1A5540F02EC155FCB93B40,5
6,6,,85.32977232,27.7265,0101000020E6100000249261FD1A5555408091DA65FDB93B40,6
7,7,,85.2981873,27.6845,0101000020E610000060662F8015535540D0B863BF38AF3B40,7
8,8,,85.63167784,27.6556,0101000020E61000002472DF686D68554020C37B35D2A73B40,8
9,9,,85.25212593,27.6894,0101000020E6100000F4A9C6D422505540A0D7C41C7FB03B40,9
10,10,,85.29459424,28.1115,0101000020E610000018FECEA1DA52554090AED75D891C3C40,10
11,11,,85.34207436,27.7882,0101000020E6100000D4F0DB8BE4555540A0DD83CDC9C93B40,11
12,12,,83.60024512,28.274,0101000020E6100000E882806A6AE65440901FA5DB24463C40,12
13,13,,87.26550096,26.4836,0101000020E6100000209ABDF7FDD0554040F8F469CC7B3A40,13
14,14,,84.62804909,28.0045,0101000020E6100000ECC5CFF43128554020A4A28727013C40,14
15,15,,85.13318579,27.887,0101000020E6100000485CAF1D8648554060A4158F14E33B40,15
16,16,,84.56484099,27.6848,0101000020E61000000414D75A26245540C03A594F51AF3B40,16
17,17,,86.71142539,27.7357,0101000020E6100000B8A558FE87AD5540F0341E9159BC3B40,17
18,18,,86.17015369,27.5502,0101000020E6100000E05B4BCCE38A5540708D7B3CDC8C3B40,18
19,19,,84.62246937,27.9994,0101000020E610000064C1BF89D6275540C048427CDAFF3B40,19
20,20,,82.71283311,28.5014,0101000020E6100000E4C4C40E9FAD5440B01A899F5A803C40,20
21,21,,86.58750522,27.5049,0101000020E6100000F0AB83AF99A5554040065F253E813B40,21
22,22,,85.13805474,27.6507,0101000020E610000064C58DE3D5485540B0969C9592A63B40,22
23,23,,85.13553871,27.6467,0101000020E6100000B4878DAAAC485540306A259E8CA53B40,23
24,24,,85.28893382,27.6711,0101000020E6100000683A45E47D525540F0BD7040D0AB3B40,24
25,25,,82.40724207,28.5607,0101000020E610000000B90641109A544080E4CA5E8C8F3C40,25
26,26,,85.29014875,27.744,0101000020E6100000088D0DCC91525540F026760C78BE3B40,26
27,27,,85.2909208,27.7436,0101000020E610000000A44B729E525540B056D3075BBE3B40,27
28,28,,85.59297225,27.063,0101000020E610000098D5E041F3655540D0D8E66E21103B40,28
29,29,,86.11039539,27.4828,0101000020E610000038A2D1B710875540B0347509977B3B40,29
30,30,,86.10728336,27.4868,0101000020E6100000046A0BBBDD86554040D8161EA17C3B40,30
31,31,,85.55456943,26.8487,0101000020E6100000DC95C3107E635540F068B0C742D93A40,31
32,32,,84.85278158,27.0246,0101000020E61000002C7030F9933655406045281A4E063B40,32
33,33,,83.79836147,28.2287,0101000020E6100000E80EBA5A18F35440F08FFFBA893A3C40,33
34,34,,86.06076924,27.3813,0101000020E610000010A7AFA4E3835540F0F0B0629C613B40,34
35,35,,84.72783685,27.5751,0101000020E6100000380F01E1942E5540607DE77137933B40,35
36,36,,85.13497224,27.5399,0101000020E610000040BE9662A348554030C9FAA8358A3B40,36
37,37,,83.24486133,28.0727,0101000020E6100000D097DFCEABCF544010B569E19C123C40,37
38,38,,84.48633938,27.6369,0101000020E61000007023382F201F554010DD80C409A33B40,38
39,39,,82.54250439,28.9806,0101000020E6100000E8C85764B8A2544030D2CCA309FB3C40,39
40,40,,84.4367446,27.7104,0101000020E6100000A8FA9E9FF31B55401033DD9EDCB53B40,40
41,41,,84.88082999,27.016,0101000020E6100000F4B6BE845F38554020B8D5C715043B40,41
42,42,,86.0846064,27.3233,0101000020E6100000C8CBF8306A8555400096CE78C1523B40,42
43,43,,85.34809715,27.7819,0101000020E61000003CBC4739475655407030B65E28C83B40,43
44,44,,85.34834843,27.7819,0101000020E6100000E03037574B565540C02E2D9D28C83B40,44
45,45,,85.34870363,27.7815,0101000020E610000070EF0C29515655401087EB1D10C83B40,45
46,46,,84.42264145,27.6858,0101000020E61000001067BE8E0C1B554030316FB092AF3B40,46
47,47,,83.55007189,27.865,0101000020E6100000FC00B96034E35440F0CB540C72DD3B40,47
48,48,,85.18384175,27.3881,0101000020E6100000FC2E3010C44B5540400AC3F759633B40,48
49,49,,85.44674476,27.6854,0101000020E6100000ACCF5077975C554010C9C35979AF3B40,49
50,50,,85.33198246,27.7375,0101000020E610000020295C333F55554000C48DE8C9BC3B40,50
51,51,,85.89543392,27.8009,0101000020E6100000848114CA4E79554060F731D306CD3B40,51
52,52,,85.14119466,27.5402,0101000020E6100000DC5F4F5509495540A0F4AFFD4B8A3B40,52
53,53,,85.17173998,27.964,0101000020E6100000F849AFC9FD4A5540B0B7B0EAC7F63B40,53
54,54,,84.58655463,27.905,0101000020E6100000D86C6D1C8A255540C0221A3AADE73B40,54
55,55,,84.58928487,27.907,0101000020E6100000583FE7D7B625554000C6216630E83B40,55
56,56,,86.5427877,27.5757,0101000020E6100000009B9E08BDA2554040896D9C5E933B40,56
