FID,name,operator_t,isced_leve,Lat,log,Remarks
61, Adarsha Higher Secondary School,government,higher_secondary,27.68169546,85.37613759, 
26,Ace Institute of Management,private,college,27.69915607,85.34775663, 
13,Acer International College,private,college,27.67443503,85.36087131, 
77,Active Academy College,private,college,27.74155022,85.33004583, 
163,Adarsha Azad Higher Secondary School,government,higher_secondary,27.66767226,85.43190057, 
6,Adarsha Janapremi Higher Secondary School,private,college,27.67535934,85.365053, 
332,Adarsha Kanya Niketan Higher Secondary School,government,higher_secondary,27.67348919,85.32606806, 
229,Adarsha Secondary School,government,higher_secondary,27.67742056,85.38599428, 
451,Adarsha Shila Yubak Higher Secondary School,government,higher_secondary,27.63582805,85.30509993, 
215,Adarsha Yog-Hari Higher Secondary School,community,higher_secondary,27.71855513,85.3149623, 
301,Advanced College of EngineeringandManagement,private,college,27.69022936,85.31276388, 
325,Advanced College of Engineering and Management,private,college,27.70427326,85.28325576, 
204,Ages Graded English Higher Secondary School,private,higher_secondary,27.71990149,85.36578906, 
407,AIM,private,college,27.65707691,85.33254441, 
88,AJW College - (A Level),private,college,27.7302372,85.32606412, 
338,Alka Institute of Medical Sciences (AIMS),private,college,27.6682802,85.30509078, 
389,Alok Vidyashram,private,higher_secondary,27.7071464,85.34195444, 
345,Amar Jyoti Higher Secondary School,government,higher_secondary,27.70138025,85.27213771, 
415,Ambition Academy,private,higher_secondary,27.7026326,85.33850733, 
364,Ambrosia International College,private,college,27.6715023,85.3153067, 
476,Amrit Science Campus,government,college,27.71764794,85.31281867, 
252,Angel's Heart Higher Secondary School,private,higher_secondary,27.74300393,85.31245811, 
299,Annapurna Higher Secondary School,private,higher_secondary,27.70964334,85.31346941, 
31,Apex College,private,college,27.69916538,85.33796096, 
190,Apollo International College,private,college,27.69463837,85.3351594, 
115,Araniko Higher Secondary School,government,higher_secondary,27.65322485,85.39137397, 
367,Araniko International Academy,private,higher_secondary,27.65952311,85.32164134, 
24,Arunima Higher Secondary School,private,college,27.71699956,85.35878848, 
426,Arunodaya Higher Secondary School,government,higher_secondary,27.62045003,85.26536811, 
199,Ashirwad College,private,college,27.7255735,85.31345737, 
116,Ashraya Vidya Sadan,private,higher_secondary,27.70337079,85.30378689, 
291,Asian College,private,college,27.67067466,85.30970609, 
167,Asian College of Management and Technology,private,college,27.6867219,85.33799123, 
396,Asian College of Medical Science and Technology,private,college,27.68468434,85.32235507, 
184,Asian Engineering College,private,college,27.68244879,85.33331754, 
34,Asian School of Management,private,college,27.72808146,85.31493149, 
200,Atlantic International College,private,college,27.72255682,85.31230506, 
472,AVM High School,private,higher_secondary,27.66751477,85.31528926, 
178,Bageshwori Higher Secondary School,community,higher_secondary,27.67304729,85.43878895, 
105,Bagmati Modern College,private,college,27.7276592,85.34668195, 
280,Bajra International College,private,college,27.72166864,85.36864444, 
68,Bal Uddhar Higher Secondary School,government,higher_secondary,27.73040047,85.35604861, 
293,Balmeeki Campus,government,college,27.70254181,85.32060852, 
38,Baneshwor Campus,community,college,27.68903969,85.34790524, 
416,Banibilas Higher Secondary School,government,higher_secondary,27.59803495,85.32433878, 
171,Basbari Higher Secondary School / Chiran Milan Bishwashanti Campus,government,higher_secondary,27.74117095,85.34503003, 
14,Basu Higher Secondary School,government,higher_secondary,27.67833847,85.42918169, 
186,Bhanubhakta Memorial College,community,college,27.72657682,85.32499091, 
187,Bhanubhakta Memorial Higher Secondary School,community,higher_secondary,27.72664312,85.32464136, 
383,Big Buddha National Academy,private,higher_secondary,27.71312083,85.27524274, 
108,Bijaya Smarak Higher Secondary School,government,higher_secondary,27.70505437,85.32695694, 
434,Bijeshwori Higher Secondary School,private,higher_secondary,27.71279425,85.30004546, 
247,Bishwa Bhasha Campus,government,college,27.70269887,85.31919959, 
439,Boudeshwor Higher Secondary School,government,higher_secondary,27.79839046,85.32771685, 
25,Bridgewater College,private,college,27.6963156,85.35234647, 
368,Bright Future School,private,higher_secondary,27.65984433,85.32260789, 
160,Bright Land Higher Secondary School,private,higher_secondary,27.73064907,85.30433919, 
22,British Gorkha College,private,college,27.74365443,85.33996071, 
158,British Gurkha Academy College,private,college,27.74569822,85.34133808, 
343,Brookfield College,private,college,27.69770248,85.34879881, 
478,Brooklfield College,private,college,27.6972163,85.34945983, 
106,Brooklyn International College,private,higher_secondary,27.72675823,85.34639648, 
464,BST College,private,higher_secondary,27.7361728,85.30837049, 
206,Buddha Jyoti  Academy,private,higher_secondary,27.70973904,85.30114315, 
224,Budhanilakantha Higher Secondary School,government,college,27.77677283,85.36269846, 
11,Camad College,private,college,27.73028494,85.34773913, 
