FID,name,operator_t,isced_leve,Lat,Log,Remarks
0,St. Xavier's School,private,secondary,27.67458364,85.31288594, 
1,Adarsha Lower Secondary School,government,lower_secondary,27.71353849,85.33134453, 
2,Everest School,private,secondary,27.67655492,85.42451597, 
3,Madan Smarak Girl's High School,government,secondary,27.67657873,85.31825786, 
4,Jaljala Shishu Sadan Secondary School,private,secondary,27.70869359,85.30525853, 
5,Nava Adarsha Secondary School,government,secondary,27.70364712,85.30674945, 
6,DAV Sushil Kedia Vishwa Bharati School,private,secondary,27.6741295,85.30866471, 
7,Shree Bhaisnavi Secondary School,government,secondary,27.67243849,85.28391585, 
8,Cosmic International Academy,private,secondary,27.67490703,85.34534815, 
9,Kasthamandap Vidhayalaya,private,secondary,27.73550851,85.34736247, 
10,NIBS School,private,secondary,27.73682707,85.34854774, 
11,Ideal Model School,private,secondary,27.6771164,85.30834897, 
12,Pushpa Sadan Boarding School,private,secondary,27.6746528,85.27399352, 
13,Lumbini Beginner's Academy,private,secondary,27.73454908,85.34594574, 
14,Paradise Montessori,private,kindergarten,27.73427965,85.34569439, 
15,Edmund English School,private,primary,27.73309284,85.34514291, 
16,Prabhat Higher Secondary School,government,secondary,27.68889645,85.22625011, 
17,Malpi Primary School,private,primary,27.71708617,85.32690674, 
18,Herald International School,private,secondary,27.67941028,85.32250175, 
19,Manjushree English Medium High School,private,secondary,27.67497955,85.30836767, 
20,Shree Sanchetana Primary School,government,primary,27.67491398,85.3054917, 
21,Bhaktapur NIST School,private,secondary,27.6786109,85.3619845, 
22,Om Gyan Mandir School,private,secondary,27.67543707,85.35968197, 
23,Little Stars Academy,private,secondary,27.68731964,85.24904361, 
24,Hindu Vidyapeeth - Nepal,community,secondary,27.67125497,85.33781941, 
25,Matribhumi School,private,secondary,27.68121864,85.36672955, 
26,Kids' Merryland School,private,primary,27.68393382,85.32535104, 
27,Mount Gaurishankar School,private,secondary,27.72204839,85.32819247, 
28,Shaheed Shukra Secondary School,government,secondary,27.70359568,85.31884703, 
29,Blossom Co-ed Academy,private,primary,27.74778935,85.34900335, 
30,Samye Memorial Buddist Vihara,community,secondary,27.74002759,85.34404271, 
31,Little Rose Boarding High School,private,secondary,27.73944909,85.33769326, 
32,Kantipur English High School,private,secondary,27.73585563,85.34113473, 
33,Bhassara School,private,secondary,27.67303626,85.33821575, 
34,Shiradi Sai Academy,private,secondary,27.72689394,85.33434982, 
35,Samata School,private,lower_secondary,27.71698911,85.36102197, 
