SN,Name,longitude,latitude,Contact,Remarks
1,Adarsha Pra V,85.759509,27.744815,,
2,Adarshila Acedemy,84.9041207,27.9087982,,
3,Advance Academy Boardig School,84.8849015,27.9129868,9851155783,
4,Akala Pra V,84.536102,27.957843,9846216237,
5,Bachala Devi Ni Ma V,85.712029,27.686703,,
6,Bagh Bhairab Pra V,85.683832,27.744059,,
7,Bajra Bhairab Pra V,84.652716,28.00838,9846089110,
8,Bal mandir,86.072304,27.679239,,
9,Bal Mandir PRA V,85.720919,27.786263,,
10,Bal Sudhar Pra V,85.725409,27.788408,,
11,Balhit Pra V,85.743292,27.703492,,
12,Bandevi Ma Vi,85.71521,27.777745,,
13,Batashe Pra V,85.75443,27.808643,,
14,Bhairabi Prabi Amaltar( not in nagarpalika calendar),84.8824321,27.8939548,,
15,Bhim Ma Vi,86.07077,27.679255,9844398097,
16,Bhimeshwori Pra V,85.76283,27.820912,,
17,Bhumeswori Pra Vi,86.039911,27.698417,9741129045,
18,Bosimpa Pra Vi,86.057124,27.704133,9844399446,
19,Buddha Pra Vi,85.949266,27.693609,9844465391,
20,Buddha Pra Vi,86.025298,27.697746,9844307600,
21,Budhabhimsen Ma Vi,86.063954,27.631413,9844060214,
22,Chandeshori Ma Vi,84.85610579,27.94684775,9851215597,
23,Chetanshil Pra Vi,86.06811,27.645297,9741079333,
24,Children Park Aa Ma Vi,84.89339485,27.90885919,9841062517,
25,Chulidanda Pra Vi,86.093187,27.675766,9860503091,
26,Chultheshwori Pra V,85.761066,27.813239,,
27,Deurali Ma Vi,84.87320505,27.89257604,9841656827,
28,Devi Ma Vi,85.980028,27.685791,9854045033,
29,Dhading Awasiya Ma vi,84.9032391,27.90822004,,
30,Dhading Vision English School,84.8879785,27.9102183,9810520047,
31,Dhunga Gade Adharbhut Bidhyalaya,84.649496,27.992699,9846158525,
32,dhuseni aa vi,84.98259489,27.89951008,9808454593,
33,Dikpal Pra V,85.770402,27.740709,,
34,Eejara Aa Vi,84.9087901,27.90773911,9841716005,
35,Fulapa Pra vi,86.086852,27.678989,9744007473,
36,Ganesh Pra V,85.718746,27.731463,,
37,Gauri Shankar Ni Ma Vi,84.9955726,27.9284906,9849278558,
38,Gayatri Devi Aa Vi,84.88041501,27.90966733,9840526338,
39,Gorakh Kali Adharbhut,84.631881,28.009373,9846056207,
40,Gyan Mandir Namuna Uchha Ma V,85.729043,27.756685,,
41,Gyanjyoti Primary School,85.724437,27.684096,,
42,Harikirtan Aadharbhut  Vi.,86.012493,27.671599,9866880111,
43,Jal Kanya PRa V,84.644931,28.013496,9846125780,
44,Jalakanya Aa Vi,84.8914853,27.8732583,9841064769,
45,Jalpa Devi Pra V,85.703211,27.755261,,
46,Jalpa Devi Pra V,85.757775,27.766012,,
47,Jana Chetana Pra V,85.684984,27.754159,,
48,Jana Devi Ni Ma V,84.649881,28.033766,9846271883,
49,Jana Jagaran Pra V,85.719371,27.700261,,
50,Jana Jagriti Uchha Ma V,85.712266,27.694876,,
51,Jana Prabhat Bal Bikesh kendra,85.699907,27.667549,,
52,Janajagriti Pra Vi,85.756187,27.771512,,
53,Janaswastya Tatha Prabidika Aadyan School,84.892891,27.9116042,,
54,Janata Pra V,85.692733,27.760492,,
55,Jhamala Devi Pra V,85.67502,27.706424,,
56,Jugal Pra V,85.755847,27.801583,,
57,Kali Devi Pra V,85.70317,27.737344,,
58,Kalidevi Pra Vi,85.966516,27.707436,9815833711,
59,Kalika Aa Vi,84.98827685,27.88135318,9802963790,
60,Kalika Devi Pra V,84.683128,28.023124,9840513384,
61,Kalikadevi Higher Secondary School,85.752675,27.793653,,
62,Kalinchowk Ma Vi,86.050458,27.664052,9844328417,
63,Kalleri Ni Ma Vi,85.723507,27.747402,,
64,kanyadevi aa vi,84.96999043,27.89308388,9803618440,
65,Kanyadevi Pra V,84.493692,27.929641,9846419802,
66,Karma Singh Pra V,84.551487,27.942381,9846253445,
67,karneshor ma vi,84.8936537,27.88337301,9851190735,
68,Kibow Boarding School,84.8831928,27.9110688,9851160576,
69,Krishna Ni Ma Vi,85.723911,27.768261,,
70,Kshyamawoti Ma Vi,86.054469,27.704706,9851168796,
71,Kundaladevi Ma Vi,85.696181,27.742213,,
72,Kupridanda Aadharbhut Vidhyala,86.012088,27.664053,9844061756,
73,Kutidanda Ma Vi,86.015615,27.678525,9851190602,
