S.No:,Name,Is it a protected area?,Is it a buffer zone of protected area?,Is it a cultural heritage Site?,Densely populated area?,Special area for protection of biodiversity,Will project require temporary or permanent support facilities?,Are ecosystems related to project fragile or degraded?,Will project cause impairment of ecological opportunities?,"Will project cause air, soil or water pollution?",Will project cause soil erosion and siltation?,Will project cause increased waste production?,Will project cause Hazardous Waste production?,Will project cause threat to local ecosystems due to invasive species?,Will project cause Greenhouse Gas Emissions?,Will project cause use of pesticides?,Does the project encourage the use of environmentally friendly technologies?,"Other environmental issues, e.g. noise and traffic"
1,Amar Singh Ground/School,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
2,Bagbani,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
3,Baghkhor and Pipal tari,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
4,Bal Mandir,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
5,Bal Uddhan,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
6,Bangechaur And Sahid Smriti Park,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No
7,Barahi Ground,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No
8,Basundhara/Komagana Park,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
9,Bhadrakali Higher Secondary School,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
10,Bhedi Farm,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
11,Birendra Aishwarya Park,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
12,City Hall,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
13,Dhaulagiri Multiple Campus,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
14,Durbar Square,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
15,Exhibition Centre,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
16,Ganeshpur Swasthya Chauki,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
17,Gauri Shankar Khel Maidan And Gauri Shankar Madhyamik Vidhyalaya,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
18,Gharelu Compound,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
19,Indra Rajha Laxmi Higher Secondary School,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
20,Institute of Forestry,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
21,IOE Western Regional Campus,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
22,Jaisi Chaur Khel Maidan,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
23,Khalako Chaur,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
24,Krishi Samagri Sansthan,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
25,Male Bagar And Bishnu Padhera Bus Park,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
26,Matribhumi Khel Maidan,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
27,Pokhara Stadium,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
28,Pravas Bagayaecha,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes
29,Prithvi Narayan Campus,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
30,Purano Tundikhel,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
31,Ratna Prathamik Vidhyalaya,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
32,Resunga Multiple Campus,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
33,Sanskrit Madhyamik Vidhyalaya,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
34,Science Campus,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
35,Tansen Multiple Campus,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No
36,Thati Chautari (Sundar Gaun),No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
37,Tribhuvan Adarsh Higher Secondary School,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No
38,Tribhuvan Multiple Campus,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
39,Tundikhel And Mahendra Higher Secondary School,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
40,Tundikhel West,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No
