Id,objectid,name,x,y,the_geom,id
1,1,Juddha Barun Yantra,85.30881221,27.70353644,0101000020E610000058B84494C35355407096D7F61AB43B40,1
2,2,Phulchowk Fire Station,85.31494266,27.67553883,0101000020E610000014E6460528545540401DDF1CF0AC3B40,2
3,3,,85.36124912,27.69619967,0101000020E61000000CB2A5B41E575540001250243AB23B40,3
4,4,Birampur Fire Station,88.9852728,25.3996008,0101000020E6100000ECFAA4B50E3F5640C0E5ED3C4C663940,4
5,5,Dali Fire Station,88.25508281,27.02316698,0101000020E6100000A4B3D64653105640809D6E45EE053B40,5
6,6,Darjeeling Fire Station,88.26477032,27.04327604,0101000020E6100000E0C339FFF1105640B0E88623140B3B40,6
7,7,,87.46391245,25.76027619,0101000020E610000040DADCBDB0DD554050ECC675A1C23940,7
8,8,Fire Service,89.25909709,25.74727926,0101000020E6100000801CF80B95505640303780B14DBF3940,8
9,9,Fire Brigade,83.99045552,28.21003349,0101000020E6100000207F8A9F63FF544020B53EC1C4353C40,9
10,10,Phulbari Fire Station,88.94370152,25.50382727,0101000020E6100000C07B139B653C5640F040F1D2FA803940,10
11,11,,88.15675472,24.692221,0101000020E61000000C07F044080A5640B0564D6535B13840,11
12,12,Naogaon Fire Service & Civil Defence Station,88.95168925,24.8055363,0101000020E61000004C3D077AE83C5640A05B81A037CE3840,12
13,13,Bangladesh Fire Service and Civil Defense,89.40991487,24.68528565,0101000020E6100000B0CE8E0B3C5A5640F0574FE16EAF3840,13
14,14,Patnitola Fire Station,88.75732757,25.04374197,0101000020E6100000C82C0E0E78305640C0B389AC320B3940,14
15,15,Thakurgaon Fire Station ,88.47452307,26.02972604,0101000020E6100000E8DF03965E1E564080E639209C073A40,15
16,16,Fire Service And Civil Defence Station Ghoraghat,89.25317381,25.25603877,0101000020E61000005085E7FF33505640E0B5D0C18B413940,16
17,17,Kaunia Fire Service Station,89.42054353,25.76977935,0101000020E61000002C89672FEA5A5640F0907C4210C53940,17
18,18,,88.41742449,26.7029442,0101000020E6100000F4A43215B71A564090F39B26F4B33A40,18
19,19,Kurigram Fire Service,89.64570434,25.80915359,0101000020E6100000A0504C3853695640D00C87B024CF3940,19
20,20,,89.01313843,26.01387289,0101000020E6100000649C9342D74056406088842C8D033A40,20
21,21,,79.4529969,29.3911414,0101000020E61000006C16B6E6FDDC53402010C0D721643D40,21
22,22,,86.7122895,27.7393729,0101000020E6100000F094B22696AD554020EED78A47BD3B40,22
23,23,"Juddha Barun Yantra,BKT",85.4200316,27.6711361,0101000020E6100000D09E38CCE15A554010BE5193CFAB3B40,23
24,24,Fire Station,84.500647,26.802044,0101000020E6100000B07CB6990A205540405F6FC152CD3A40,24
25,25,Darjeeling Fire Station,88.2550685,27.023165,0101000020E6100000FC56D40A53105640C0423524EE053B40,25
26,26,Fire Station,81.8398891,25.4478206,0101000020E6100000C4C335BEC0755440F0EEED5EA4723940,26
27,27,,89.783579,25.082878,0101000020E6100000683F88282672564020EE1C7E37153940,27
28,28,Dimla Fire Station,88.9193943,26.1604057,0101000020E61000000818315BD73A5640C04A145910293A40,28
29,29,,83.595789,27.5147963,0101000020E6100000CCF72F6821E654402012B9B0C9833B40,29
30,30,,85.1412721,27.9114128,0101000020E61000009878229A0A4955401021685952E93B40,30
31,31,Malik,86.9967729,25.2586598,0101000020E6100000F03D9020CBBF5540808C578737423940,31
32,32,Cooch Behar Fire Service,89.4532897,26.3203356,0101000020E6100000D0E9CCB2025D564020A38E8301523A40,32
33,33,,89.6429352,27.4599081,0101000020E61000006C93AED92569564020938889BC753B40,33
34,34,,89.6252146,27.4783026,0101000020E6100000B8C0188403685640D062090A727A3B40,34
35,35,Sarishabari Fire Service And Civil Defence Station,89.843626,24.7700878,0101000020E6100000A4A0E7F7FD75564030625A7924C53840,35
36,36,,79.4536235,26.0044693,0101000020E6100000C4A5DC2A08DD534030FC68E624013A40,36
37,37,Singtam firestation,88.4989469,27.2330317,0101000020E61000002824FABEEE1F5640A0A82AF7A73B3B40,37
38,38,Kusamba Devi Glass House,81.6358718,28.0673534,0101000020E6100000D4FAA11FB2685440E09589123E113C40,38
39,39,,86.1438067,28.614703,0101000020E6100000680F04213489554010A8032D5D9D3C40,39
