FID,amenity,name,operator_t,Lat,Log,Remarks
0,health post ,Kathmandu Metro Health Post, ,27.7140643,85.3258444, 
1,health post , ,government,27.7542384,85.3684003, 
2,health post ,Champadevi Health Post,government,27.66648124,85.25714433, 
3,health post ,Panga Balkumari Sub Health Post,government,27.66826774,85.27543654, 
4,health post ,Sainbu Health Post,government,27.64718653,85.30514983, 
5,health post ,Dharmasthali Health Post,government,27.76477,85.3008444, 
6,health post ,Bishnudevi Primary Health Center,government,27.68058373,85.27667407, 
7,health post ,Pukhulachi Health Post,government,27.73005345,85.4624489, 
8,health post ,Jhaukhel Sub Health Post,government,27.7034343,85.4274219, 
9,health post ,mahankal upa swastha chowki,government,27.75026145,85.34718385, 
10,health post ,Budhanilakantha swasthi chowki,government,27.76650658,85.35433145, 
11,health post ,Gundu Health post,government,27.6478335,85.40911277, 
12,health post ,Chapali Bhadrakali upa swastha chowki,government,27.77113267,85.36215642, 
13,health post ,Chhaling Health Post,government,27.70134808,85.45075685, 
14,health post ,Bode Swastha Chauki,government,27.6921484,85.39262058, 
15,health post ,Nagadesh Swastha Chauki,government,27.68513287,85.38572611, 
16,health post ,Tathali Health post,government,27.66552827,85.48102399, 
17,health post ,Sudal Sub Health post,government,27.68285325,85.48141585, 
18,health post ,Bageshwari Health Post,government,27.69292095,85.47733565, 
19,health post ,Gokarna Primary Health Care,government,27.73936827,85.38733908, 
20,health post ,Kapan Swastha Chowki,government,27.73893748,85.36235482, 
21,health post ,Ward 15 Swastha Clinic,government,27.65686559,85.32624286, 
22,health post ,Gongabu Sub-Health Post,government,27.74921582,85.31922794, 
23,health post ,Danchi Sub Health Post,government,27.72785167,85.40996156, 
24,health post ,Aalapot Health Post,government,27.74879707,85.42937949, 
25,health post ,indrayeni health post,government,27.73001632,85.43469728, 
26,health post ,Khokana Upa-Swatha Chauki,government,27.63557364,85.29956561, 
27,health post ,Badegaon Primary health Centre,government,27.61752476,85.3515764, 
28,health post ,Bishangkhu Narayan Health Post,government,27.60125557,85.37658284, 
29,health post ,Bishankhu Narayan Health Post,community,27.61292841,85.36449661, 
30,health post ,District Pre-Primary Health Post,government,27.62426657,85.3583413, 
31,health post ,Kabhresthali Health Post,government,27.78464904,85.30094803, 
