SN,Name,Province,District,Municipality,Total Area,Usable Open Space Area,Capacity
1,Adarsha Azad Higher Secondary School,3,26,524 3 26 3 003,2172,1910,546
2,Airport Central Dojo,3,27,524 3 27 1 001,176854,102100,29171
3,Airport Golf Club,3,27,524 3 27 1 001,21329,12410,3546
4,ANFA Football Ground North,3,25,524 3 25 1 001,18238,14475,4136
5,ANFA Football Ground South,3,25,524 3 25 1 001,11405,10500,3000
6,Bagmati Corridor 1,3,27,524 3 27 1 001,16055,11955,3416
7,Bagmati Corridor 2,3,27,524 3 27 1 001,19450,18795,5370
8,Bagmati Corridor 3,3,27,524 3 27 1 001,43788,33545,9584
9,Bagmati Corridor 4,3,27,524 3 27 1 001,15994,15550,4443
10,Bagmati Corridor 5,3,27,524 3 27 1 001,20706,18850,5386
11,Bagmati Corridor 6,3,27,524 3 27 1 001,6261,5235,1496
12,Balmiki Vidyapeeth,3,27,524 3 27 1 001,5604,4280,1223
13,Basu School,3,26,524 3 26 3 003,2625,1500,429
14,Bhaktapur Bahumukhi Campus,3,26,524 3 26 3 003,25971,22110,6317
15,Bhaktapur Durbar Square,3,26,524 3 26 3 003,5936,5200,1486
16,Bhandarkhal,3,27,524 3 27 1 001,21238,15785,4510
17,Bhelukhel,3,26,524 3 26 3 003,4666,4150,1186
18,Bhrikuti Mandap,3,27,524 3 27 1 001,84139,45640,13040
19,Birendra Sainik School,3,26,524 3 26 3 003,67090,56100,16029
20,Civil Aviation 1,3,27,524 3 27 1 001,17458,14630,4180
21,Civil Aviation 3,3,27,524 3 27 1 001,76293,20955,5987
22,Dasarath Stadium,3,27,524 3 27 1 001,32250,22860,6531
23,Datattraya,3,26,524 3 26 3 003,1938,1735,496
24,DWSS,3,27,524 3 27 1 001,57347,0,0
25,Election Commission Office,3,27,524 3 27 1 001,16169,14360,4103
26,End of Airport Site (Civil Aviation 2),3,26,524 3 26 3 003,142215,11560,3303
27,Gokarna Golf Club,3,27,524 3 27 3 004,290061,23450,6700
28,Gokul Chaur,3,25,524 3 25 1 001,7328,6765,1933
29,Golf Club Site/Airport,3,27,524 3 27 1 001,141414,71400,20400
30,Himal Cement Company,3,27,524 3 27 1 001,91756,0,0
31,Hyatt Regency Hotel,3,27,524 3 27 1 001,82979,80410,22974
32,Jawalakhel Football Ground,3,25,524 3 25 1 001,7502,7290,2083
33,Khwopa College,3,26,524 3 26 3 003,26692,22650,6471
34,Khwopa Engineering College,3,26,524 3 26 3 003,11916,7235,2067
35,Kwathandu,3,26,524 3 26 3 003,1532,1445,413
36,Lagankhel Football Ground,3,25,524 3 25 1 001,11211,11120,3177
37,Lagankhel Stupa,3,25,524 3 25 1 001,17718,7395,2113
38,Lalitpur Municipality Office,3,25,524 3 25 1 001,6359,5530,1580
39,Madan Smarak,3,25,524 3 25 1 001,13346,10885,3110
40,Maheshwori Football Ground,3,26,524 3 26 3 003,8354,8354,2387
41,Modern Indian School,3,27,524 3 27 1 001,14796,14595,4170
42,Narayan Chaur (Naxal),3,27,524 3 27 1 001,10210,7815,2233
43,NARC,3,25,524 3 25 1 001,491893,381305,108944
44,Nasamana,3,26,524 3 26 3 003,762,725,207
45,NAST,3,27,524 3 27 1 001,24423,18145,5184
46,National Academy,3,27,524 3 27 1 001,14949,12890,3683
47,Nepal Bal Mandir,3,27,524 3 27 1 001,359401,0,0
48,Oxygenation Park,3,26,524 3 26 3 003,12606,7250,2071
49,Padma Higher Secondary School,3,27,524 3 27 1 001,17094,11550,3300
50,Padmakanya Campus,3,27,524 3 27 1 001,17981,15090,4311
51,Pashupati 1,3,27,524 3 27 1 001,10490,7390,2111
52,Pashupati 2,3,27,524 3 27 1 001,19845,14600,4171
53,Pashupati 3,3,27,524 3 27 1 001,11364,10865,3104
54,Pashupati 5,3,27,524 3 27 1 001,33104,17180,4909
55,Pulchwok Engineering College 1,3,25,524 3 25 1 001,20516,17370,4963
56,Pulchwok Engineering College 2,3,25,524 3 25 1 001,86407,84755,24216
57,Rastriya Sabha Griha,3,27,524 3 27 1 001,13589,9650,2757
58,Ratnapark,3,27,524 3 27 1 001,177228,172290,49226
59,Sallaghari Tinkune,3,25,524 3 25 1 001,73072,43930,12551
60,Sankha Park,3,26,524 3 26 3 003,66896,64310,18374
61,Sanogaucharan,3,27,524 3 27 1 001,8748,7845,2241
62,Saraswati Vidhyagriha,3,26,524 3 26 3 003,2895,2895,827
63,Sifal Ground,3,26,524 3 26 3 003,10751,9910,2831
64,Social Welfare Council,3,27,524 3 27 1 001,7183,7175,2050
65,St. Mary's School,,,,,0,0
66,St. Xavier's School,3,25,524 3 25 1 001,10825.31,8915,2547
67,Suryamadi,3,25,524 3 25 1 001,20908.39,21465,6133
68,Talako,3,26,524 3 26 3 003,795.61,670,191
69,Taumadi,3,26,524 3 26 3 003,1054.47,1030,294
70,Tibetian Refugee Camp,3,26,524 3 26 3 003,1998.69,1670,477
71,"Tilganga Eye Hospital, Kathmandu Medical College",3,25,524 3 25 1 001,5982.58,5720,1634
72,Tinkune,3,27,524 3 27 1 001,28372.17,26330,7523
73,Tribhuwan University,3,27,524 3 27 1 001,1431956.83,716130,204609
74,UN Park Gusingal,3,25,524 3 25 1 001,81380.22,40975,11707
75,UN Park Jwagal,3,25,524 3 25 1 001,42300.46,72390,20683
76,Vidyarthi Niketan,3,26,524 3 26 3 003,2230.23,1555,444
