Id,objectid,name,y,x,the_geom,id
121,123,"Aastahai Prahari Bit, Uttar Behadhi-4",28.7112176,80.5780636,0101000020E6100000343478FEFE24544010AE4D5B12B63C40,123
233,236,Aasthai Police Station,28.2964716,83.7678659,0101000020E6100000B05D04B724F15440108E1290E54B3C40,236
239,242,Aasthayi Prahari Post,30.0603245,81.6219257,0101000020E6100000543373A1CD67544060AF296D710F3E40,242
124,126,ACA Entry Permit Checkpoint,28.6659871,84.0230806,0101000020E610000044510D277A015540002A6E217EAA3C40,126
153,155,ACAP Check Post,28.3307205,83.9644433,0101000020E610000058AD6370B9FD5440C0B04119AA543C40,155
40,41,Andheri Police Station,27.7505242,85.8208274,0101000020E6100000284EA56F8874554070909D5A22C03B40,41
104,105,Area Police Offive,28.1946605,81.689007,0101000020E6100000E8CAD0B0186C544070F53F45D5313C40,105
221,224,Armed Police Force Bhajani,28.5025967,80.9671381,0101000020E6100000C8623397E53D5440F0C3632DAA803C40,224
123,125,Armed police Force Gulma Gorkha,27.9848624,84.6398623,0101000020E6100000F0AF0081F3285540508B36F11FFC3B40,125
122,124,Armed police force siraha,26.6330561,86.2495244,0101000020E6100000F0A23035F88F5540B06DEDF60FA23A40,124
107,108,"Armed Police Force, Sanjen Hydropower Security Base, Chilime Rasuwa",28.182031,85.3054808,0101000020E61000004C6357FF8C53554070FD6795992E3C40,108
234,237,bajura police post,29.375972,81.3339235,0101000020E610000010EFAB005F55544040F572B33F603D40,237
2,3,Balkhu,27.6847585,85.2980741,0101000020E6100000446F63A513535540C02D43554CAF3B40,3
13,14,balkumari police station,27.6719324,85.3361568,0101000020E61000000094CF9783555540603C01C303AC3B40,14
118,120,Bartung,27.8563783,83.5533142,0101000020E6100000C057F67F69E35440E04BB69B3BDB3B40,120
10,11,Basantapur Police,27.4571557,84.3232579,0101000020E610000014C6E641B0145540B049EB2708753B40,11
182,184,Bhadaharwa Police Station,26.813751,85.320346,0101000020E61000009C35828C8054554050D64AFC51D03A40,184
231,234,Bhadaure Police Office,28.2815789,83.8639842,0101000020E61000008C4163844BF754408015068E15483C40,234
89,90,Bhanu Chok,26.7319034,85.9332012,0101000020E610000048F18691B97B5540107F6E055EBB3A40,90
238,241,Border Police Office,30.0695605,81.5397763,0101000020E6100000F4F3E4B18B62544050F489B7CE113E40,241
240,243,"Border Police Station, Halji",30.2339276,81.5520796,0101000020E61000002003AD4555635440F0D2DDADE23B3E40,243
29,30,Boudha Police Branch,27.7202554,85.3600858,0101000020E6100000ACB54FA50B57554070576DA862B83B40,30
216,219,Buddhanilkantha Police Station,27.7769981,85.3619988,0101000020E6100000FCE803FD2A575540E030F358E9C63B40,219
